brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Warehouse Location (begin),Serial Number,Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhtk:2188,c07a1283-6b5d-5d83-96ef-b5cc0bd00453,Items,1,tr:lh:685,14320/3,isad:lh:96915,Planex KP / H 7653,,,,,Nederlands,Noot
tg:lhtk:7670,fe4a8835-0893-5c20-ada1-a58b7b2750cb,Items,1,tr:lh:2974,60258/66g,isad:lh:97005,V 115 / I,boven links 'Ohuy 29 x 35 Dag.',,,,Nederlands,Noot
tg:lhtk:12531,32ab59c0-8330-538b-bbbb-2a87fe8428d5,Items,1,tr:lh:7337,115925/10AB,isad:lh:128436,O 393 / I,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:7220,ea238c27-c0dd-5502-b7e8-2d12ba73ed85,Items,1,tr:lh:5300,104357,isad:lh:97427,V 444 / I,Rechts boven cijfers in gewoon potlood.,,,,Nederlands,Noot
tg:lhtk:11034,b70322ce-da08-570f-94fe-3aa8e5e478e9,Items,1,tr:lh:2432,47440/62,isad:lh:127160,D 1175 / I (Doos 9),,,,,Nederlands,Noot
tg:lhtk:13009,a08e0d82-dabf-5817-b45a-ba72aa1b04e6,Items,1,,,isad:lh:128179,G 21795 / I (Doos 1),,,,,Nederlands,Noot
tg:lhtk:1527,3c3d4274-4dc0-54f5-beac-37ceca0c3917,Items,1,,121985,,Planex KP / M 195,,,,,Nederlands,Noot
tg:lhtk:5837,3c295a32-6dcc-5aa9-bdf4-fb98580da4aa,Items,1,tr:lh:6367,148725/49,isad:lh:97382,S 9978 / I (Doos 1),"Gepubliceerd in _Nieuw Vlaanderen_, jg. 2 nr. 43, 24 october 1936, p. 14.",,,,Nederlands,Noot
tg:lhtk:4725,f42b6330-0bc1-5330-95c3-96bf6fc351e4,Items,1,tr:lh:5448,106956/13,isad:lh:97335,C 3396 / I (doos 1),,,,,Nederlands,Noot
tg:lhtk:6718,b5547621-44dd-57e2-82d2-76eb4d37395a,Items,1,tr:lh:6718,166522,isad:lh:96990,Planex GT / DD 142,,,,,Nederlands,Noot
tg:lhtk:11464,a72805a2-3083-5ad1-842e-1477b3bf1b7c,Items,1,tr:lh:2432,47440/35,isad:lh:127441,D 1175 / I (Doos 2),,,,,Nederlands,Noot
tg:lhtk:9547,a5062715-bc07-52d1-9ba3-e9870c935182,Items,1,tr:lh:7337,195079 / 17,isad:lh:98624,O 393 / I (Doos 14XL),,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:13459,c3927929-41c0-5cf6-a311-3f3176052ae1,Items,1,tr:lh:139785,,isad:lh:143201,C 38192 / I,,,,,Nederlands,Noot
tg:lhtk:4375,7a1abdb8-df05-5127-bfc4-e1b7b8ab8aab,Items,1,tr:lh:4674,89056/7,isad:lh:97325,S 932 / I (Doos 1),"_Tentoonstelling Henri van Straten. 100ste geboorteverjaardag. Oeuvrecatalogus
door Ludo Raskin _, Antwerpen - Socio Cultureel- en Congrescentrum 't
Elzenveld ,1992, p. 63 , Lode Raskin, _Henri van Straten 1892-1944.
Oeuvrecatalogus_, Pandora, 2002, p.193",,,,Nederlands,Noot
tg:lhtk:14666,dfe6c5bd-4466-5cb6-a3b5-bbc5d55efd13,Items,1,tr:lh:140310,,isad:lh:175562,,,,ICO-GF-003,,Nederlands,Noot
tg:lhtk:11937,12e8f448-d5b8-53fb-b0bf-a92eec7d74e0,Items,1,tr:lh:2432,47441/50,isad:lh:128075,D 1175 / I (Doos 7),,,,,Nederlands,Noot
tg:lhtk:9814,dc4d698f-64cb-59a9-a99b-a4ddbeae47a9,Items,1,tr:lh:1217,,isad:lh:125610,D 89 / I (Map 2),,,,,Nederlands,Noot
tg:lhtk:12618,5a1ef6e6-e39c-52ee-abfc-eb2f0c401e64,Items,1,tr:lh:2397,,isad:lh:128458,,,,GG 311 / 4,,Nederlands,Noot
tg:lhtk:10625,47289611-6f26-575a-b64b-ea835ea48e73,Items,1,tr:lh:7337,195132/6,isad:lh:126274,O 393 / Doos 7,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:7109,fc56e6e5-e332-5292-bc88-bdfb9c61764d,Items,1,tr:lh:2059,38713/2,isad:lh:96916,R 1457 / I (Doos 1),,,,,Nederlands,Noot
tg:lhtk:5134,71d3978a-3c33-5cd8-b42b-1dbdd712702b,Items,1,tr:lh:5448,106951/10,isad:lh:97335,C 3396 / I (doos 4),,,,,Nederlands,Noot
tg:lhtk:12248,72b7a2a1-d953-56d1-8695-b2e675dbe24a,Items,1,tr:lh:7337,115883/9AB,isad:lh:128191,O 393 / I,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:8356,08d97f41-f486-5ce6-a3b2-7bc4af0b7961,Items,1,,215082/7,,GG 297 / I,,,,,Nederlands,Noot
tg:lhtk:1874,bb223183-3dd8-5cb2-a883-5113c4ccd8fe,Items,1,tr:lh:1859,36752/3,,Planex KP / D 563,Mogelijk zelfportret?,,,,Nederlands,Noot
tg:lhtk:3849,ab036360-1908-5f77-a2f7-bc86d18750d1,Items,1,tr:lh:1827,32856,,L 258 / I,,,,,Nederlands,Noot
tg:lhtk:7559,c23c97a5-a9da-559c-8d70-db102242790f,Items,1,tr:lh:5702,109861/14a,isad:lh:100727,P 7385 / I (doos 1),Op achterzijde schets van man met hooftdeksel.,,,,Nederlands,Noot
tg:lhtk:15077,f7a05d48-3cba-51be-9fd5-5f3dac8d68e4,Items,1,tr:lh:140310,,isad:lh:176353,,,,ICO-GF-008,,Nederlands,Noot
tg:lhtk:5071,aa44132b-199d-5c0d-983d-f87ddfb8f6b4,Items,1,tr:lh:5448,106972/41,isad:lh:97335,C 3396 / I (doos 3),,,,,Nederlands,Noot
tg:lhtk:9951,43ff6b44-bccc-55f7-847b-8ad1c0f95263,Items,1,tr:lh:1217,,isad:lh:125728,D 89 / I (Map 4),,,,,Nederlands,Noot
tg:lhtk:11872,f51c6277-bfd5-5f53-809c-b16580b13b61,Items,1,tr:lh:2432,,isad:lh:128075,D 1175 / I (Doos 7),,,,,Nederlands,Noot
tg:lhtk:15098,11a01ce2-4a64-5db3-89fe-f95f56bdb513,Items,1,tr:lh:140310,,isad:lh:176649,,,,ICO-GF-009,,Nederlands,Noot
tg:lhtk:10760,48644c78-ed26-51e5-8992-b7fa7dd97273,Items,1,tr:lh:7337,195145/5,isad:lh:127110,O 393 / Doos 8,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:8643,fd66a306-32b5-5af7-a1ca-630b5409b3dc,Items,1,,142200,,"V 152245 / I,Planex GT",,,,,Nederlands,Noot
tg:lhtk:5421,2f940282-2453-539d-b4a7-782ab85a69b5,Items,1,tr:lh:5426,106495/8,isad:lh:118031,V 882 / I,,,,,Nederlands,Noot
tg:lhtk:15132,6c98e9b8-1b2b-5ad4-a0ac-92cc598676ed,Items,1,tr:lh:140310,,isad:lh:175593,,,,ICO-GF-009,,Nederlands,Noot
tg:lhtk:10330,b0419d8d-c79c-5804-8633-062e7b83aefe,Items,1,tr:lh:7337,195126/4,isad:lh:126274,O 393 / Doos 7,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:5972,06058d55-3be7-5f93-9dfa-19e621b4fd46,Items,1,tr:lh:5837,122550/2,isad:lh:167347,D 4813 / I (Doos 1),D 4813 / 204,,,,Nederlands,Noot
tg:lhtk:14689,429a7c2d-ff1d-5720-b9a8-b716fb7a1829,Items,1,tr:lh:140310,,isad:lh:175593,,,,ICO-GF-003,,Nederlands,Noot
tg:lhtk:11171,6d79bc74-246c-588d-a911-e39a1ead34c7,Items,1,tr:lh:7337,195155/18,isad:lh:127230,O 393 / Doos 9,,,,,Nederlands,Noot
tg:lhtk:4230,2cab59e2-2fee-5b95-a67e-624efbb45923,Items,1,tr:lh:4370,84448/57,isad:lh:97312,P 737 / I KT,,K1 B 23 E3,,,Nederlands,Noot
tg:lhtk:14723,925086a5-f1e0-55e9-861a-5c7da4d14db0,Items,1,tr:lh:140310,,isad:lh:175602,,,,ICO-GF-003,,Nederlands,Noot
tg:lhtk:11521,d813b05b-5833-5ae3-b2be-dc3ccd4e5637,Items,1,tr:lh:2432,47440/241,isad:lh:127441,D 1175 / I (Doos 2),,,,,Nederlands,Noot
tg:lhtk:13273,7742bcd4-f46f-564e-a9ac-e6347114999c,Items,1,tr:lh:6354,163476/3,isad:lh:97057,G 605 / I,,V1 B,,,Nederlands,Noot
tg:lhtk:2872,806f61cd-0d65-58e3-b379-c0049a8ad7d4,Items,1,tr:lh:3755,72202,isad:lh:97182,"Planex GP / X, 2","Kunstenaar is Arthur Briel.

Nota op keerzijde:

Aantekening F. Sano: de schilder Struys door Arth. Briel / 5,II.'26 ontvangen
nalat. Buschmann.",,,,Nederlands,Noot
tg:lhtk:6098,5d45d5e2-dfff-5ee6-9cae-df4c64f6f76e,Items,1,tr:lh:7800,215013/3,isad:lh:167564,D 4813 / I (Doos 2),D 4813 / 83,,,,Nederlands,Noot
tg:lhtk:3760,55c1433d-e27c-5da2-89f7-041b1e6643a0,Items,1,tr:lh:6598,166514/14,isad:lh:97204,H 8635 / I,,,,,Nederlands,Noot
tg:lhtk:6562,f22bc447-a6ac-5308-a0e5-7bddd99ae9c1,Items,1,tr:lh:9631,198562/5,isad:lh:97356,Planex GT / B 92915,"**Publicatie** _De Kleine Zondagsvriend_, Antwerpen: De Vlijt, 4 september 1952, nr. 36, voorpagina.",,,,Nederlands,Noot
tg:lhtk:9697,99bd6d35-dee8-5e55-9bca-a0ec17e61811,Items,1,tr:lh:1217,,isad:lh:125371,D 89 / I (Map 1),,,,,Nederlands,Noot
tg:lhtk:13789,70dc23f0-2b10-5ae5-9259-97211c43ccd1,Items,1,tr:lh:139964,,isad:lh:96951,,Bruikleen Vlaamse Gemeenschap,,S 935 / 473,,Nederlands,Noot
tg:lhtk:12931,6b34202c-20be-5eab-91c1-d33617fafbcc,Items,1,,,isad:lh:128179,G 21795 / I,,,,,Nederlands,Noot
tg:lhtk:3330,ba097ef8-797b-5bbe-bb36-f4e804875a82,Items,1,tr:lh:1961,35874/2,isad:lh:97212,C 3622 / I,,,,,Nederlands,Noot
tg:lhtk:6132,abf6e562-c800-5d6d-ae41-33f55aaa453e,Items,1,tr:lh:5482,107906/6,isad:lh:167340,D 4813 / I (Doos 4),"D 4813 / 478
**Publicatie** Nota's met potlood i.v.m. kleur",,,,Nederlands,Noot
tg:lhtk:12462,5522d848-e538-5cb2-b30f-5ffe3ab64c98,Items,1,tr:lh:7337,115928/6,isad:lh:128373,O 393 / I,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:7689,d51ad007-2923-5a5f-b1ad-e425bf8ee6e7,Items,1,tr:lh:2974,59937/1s,isad:lh:97005,V 115 / I,,,,,Nederlands,Noot
tg:lhtk:2171,5ed33f34-1505-55d2-9ae5-5f4467d4f876,Items,1,tr:lh:1671,29666,isad:lh:97104,Planex KP / H 635,,,,,Nederlands,Noot
tg:lhtk:12198,1032afd4-b894-5760-ac1a-c8fba5b196a2,Items,1,tr:lh:2432,,isad:lh:128097,D 1175 / I (Doos 8),,,,,Nederlands,Noot
tg:lhtk:8086,2c1b52d1-9595-5b61-a6cb-bd2806a7165b,Items,1,tr:lh:6354,148381/2,isad:lh:96897,Planex 5 / G 395,Twee tekeningen in éen kader,,,,Nederlands,Noot
tg:lhtk:12032,81e77f1d-91d4-5284-b979-9a36ad3a989b,Items,1,tr:lh:2432,47440/430,isad:lh:128077,D 1175 / I (Doos 7),,,,,Nederlands,Noot
tg:lhtk:7723,2ba1e1d2-119d-5009-a52b-0855fe2f49b4,Items,1,tr:lh:2974,60258/67a,isad:lh:97005,V 115 / I,,,,,Nederlands,Noot
tg:lhtk:7236,f33973de-95f2-5900-bbd8-98bee5368e05,Items,1,tr:lh:5300,104357/86,isad:lh:97427,V 444 / I,tekening loopt door op tegenover-liggende pagina.,,,,Nederlands,Noot
tg:lhtk:8439,e548da06-7850-51ac-8288-c948e7793eec,Items,1,tr:lh:2397,45733/10,isad:lh:96969,Planex GT / S 535,,,,,Nederlands,Noot
tg:lhtk:12527,35421f39-0346-5918-b977-8ba0e0fbeee4,Items,1,tr:lh:7337,115925/6AB,isad:lh:128436,O 393 / I,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:2034,df680d0d-217e-58bd-bc61-0a7e203417ce,Items,1,tr:lh:2167,40896/3,isad:lh:97056,Planex KP / G 3485,,,,,Nederlands,Noot
tg:lhtk:4949,99c22271-59cf-5fa7-a013-c738b643039b,Items,1,tr:lh:5448,106966/27,isad:lh:97335,C 3396 / I (doos 3),,,,,Nederlands,Noot
tg:lhtk:6974,dc9277ed-6b18-51a5-82d3-04eb86fea18e,Items,1,,217048/3,,Planex GT / H 5059,,,,,Nederlands,Noot
tg:lhtk:7666,47fdadbd-d97a-5b55-ba7b-90d9d72d233f,Items,1,tr:lh:2974,60258/66c,isad:lh:97005,V 115 / I,,,,,Nederlands,Noot
tg:lhtk:12177,53415b5f-6084-5a19-a5e5-cd6b9241355e,Items,1,tr:lh:2432,,isad:lh:128097,D 1175 / I (Doos 8),,,,,Nederlands,Noot
tg:lhtk:8069,0417e3ca-394c-5034-8ae4-f1611d498f8a,Items,1,tr:lh:3723,71747/2,isad:lh:97405,SC 20 C 1,,,,,Nederlands,Noot
tg:lhtk:6427,dbba52da-efc2-5f54-930c-31b658ba354e,Items,1,tr:lh:4841,106052/2,isad:lh:97392,Planex GT / B 9175,,,,,Nederlands,Noot
tg:lhtk:14109,3693ae6f-a7a0-57fc-aa83-fb699c54914a,Items,1,,,isad:lh:97258,L 16136 / I (Planex GT),,,,,Nederlands,Noot
tg:lhtk:9228,5c88a8fe-4382-5a45-87ca-64a4bd6bd207,Items,1,tr:lh:915,16881,,D 483 / I,,,,,Nederlands,Noot
tg:lhtk:6077,625e7e83-b900-5378-b771-43ceeabf43f7,Items,1,tr:lh:7800,215009/4,isad:lh:167352,D 4813 / I (Doos 2),D 4813 / 257,,,,Nederlands,Noot
tg:lhtk:14559,cb592d6a-d736-5c1b-a87c-93ba67c233a8,Items,1,tr:lh:140310,,isad:lh:175219,,,,ICO-GF-002,,Nederlands,Noot
tg:lhtk:9382,92101d6f-46aa-5cfc-accf-f0dc3cad54ce,Items,1,tr:lh:140209,221241/1,isad:lh:97509,D 663/I KT,,,,,Nederlands,Noot
tg:lhtk:12874,a5711c09-6870-5571-bf00-18293211b90b,Items,1,tr:lh:2397,,isad:lh:128516,,,,GG 311 / 14,,Nederlands,Noot
tg:lhtk:10849,1b2b2b9a-54b7-5857-b2aa-ce039efe63cb,Items,1,tr:lh:2432,,isad:lh:127147,D 1175 / I (Doos 12),,,,,Nederlands,Noot
tg:lhtk:9678,58f2ff74-2b90-516b-90b1-508455a391a2,Items,1,,44997 / 16,isad:lh:125339,O 393 / I,,,,,Nederlands,Noot
tg:lhtk:10799,ee905932-23e6-5f6a-a922-a1a5a73d92fc,Items,1,tr:lh:2432,47441/91,isad:lh:127149,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhtk:15061,b175b72d-4def-5f6d-a3d5-9b9dd09fc669,Items,1,tr:lh:140310,,isad:lh:176353,,,,ICO-GF-008,,Nederlands,Noot
tg:lhtk:5088,902360e3-0b58-59b3-b63e-81f1bb9d0629,Items,1,tr:lh:5448,106972/57,isad:lh:97335,C 3396 / I (doos 3),,,,,Nederlands,Noot
tg:lhtk:8340,1cf08a1b-c9eb-501a-9d21-1be5878bad70,Items,1,tr:lh:5442,108870/2,,Planex GT / T 176,,,,,Nederlands,Noot
tg:lhtk:10263,420db2b5-1f91-5181-b0a7-2c7064775e04,Items,1,tr:lh:124332,71306/4,isad:lh:126299,D 89 / I (1),,,,,Nederlands,Noot
tg:lhtk:10633,9bad18a3-a4d5-57f6-a161-8711fa53fcd5,Items,1,tr:lh:7337,195134/2,isad:lh:126274,O 393 / Doos 7,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:11921,4226f006-97f1-5890-9568-4b82fd4c393e,Items,1,tr:lh:2432,47441/51,isad:lh:128075,D 1175 / I (Doos 7),,,,,Nederlands,Noot
tg:lhtk:9802,6acac26f-fe45-518d-8543-230476dd63fa,Items,1,tr:lh:1217,,isad:lh:125597,D 89 / I (Map 2),,,,,Nederlands,Noot
tg:lhtk:11188,7a927b98-1879-5857-81d8-c04616d91cdd,Items,1,tr:lh:7337,195156/5,isad:lh:127230,O 393 / Doos 9,,,,,Nederlands,Noot
tg:lhtk:14670,bef1b0a2-e2c7-5d2b-ade2-591e66d7f88e,Items,1,tr:lh:140310,,isad:lh:175562,,,,ICO-GF-003,,Nederlands,Noot
tg:lhtk:4363,6e69a3ef-49b8-57a4-8014-cbc2ac0aa916,Items,1,tr:lh:3755,72196/8,isad:lh:97045,S 172 / I,"La Chapelle -  Frankrijk -  waar de kinderen Sano, bij de burgemeester, Frans leerden in 1913.",,,,Nederlands,Noot
tg:lhtk:4699,a7c87431-df5f-54e1-9865-3d7817ea23d2,Items,1,tr:lh:7634,212843/2,isad:lh:97348,T 419 / I,,,,,Nederlands,Noot
tg:lhtk:11472,02bfa5ac-0408-56f1-80db-b7d807ebdc72,Items,1,tr:lh:2432,47440/290,isad:lh:127441,D 1175 / I (Doos 2),,,,,Nederlands,Noot
tg:lhtk:9551,787d7824-8e79-53d7-b32c-0532d433cede,Items,1,tr:lh:7337,195110 / 2,isad:lh:98624,O 393 / I (Doos 14XL),,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:504,c8632eb9-bd8b-5eb8-8af3-c76b94ebc25c,Items,1,,44997/22,,O 393 / I,,,,,Nederlands,Noot
tg:lhtk:4733,3f33b3a0-ac5d-5e2c-b707-020615c6606d,Items,1,tr:lh:5448,106957/5,isad:lh:97335,C 3396 / I (doos 1),,,,,Nederlands,Noot
tg:lhtk:5821,a14dbdc2-4237-55a5-af88-59b3469a1dc3,Items,1,tr:lh:6367,148725/65,isad:lh:97382,S 9978 / I (Doos 1),"Gepubliceerd in _Nieuw Vlaanderen_, jg. 3 nr. 1, 2 januari 1937, p. 14.",,,,Nederlands,Noot
tg:lhtk:11022,fdb0e859-7b8b-5516-b67c-72c890bd6c43,Items,1,tr:lh:2432,47440/54,isad:lh:127162,D 1175 / I (Doos 9),,,,,Nederlands,Noot
tg:lhtk:9101,f3d3bd97-7074-5138-a6c6-c7fd7d3b6eed,Items,1,,220747/8,isad:lh:97468,Planex KP / G 938,,,,,Nederlands,Noot
tg:lhtk:3019,f336be79-c5fc-5844-842f-72b52aa39f2d,Items,1,tr:lh:3054,60829/43,isad:lh:97185,B 366 / I,,,,,Nederlands,Noot
tg:lhtk:11537,075ae514-2fb8-56a3-af90-a80fd3d61891,Items,1,tr:lh:2432,47312/57,isad:lh:127441,D 1175 / I (Doos 2),,,,,Nederlands,Noot
tg:lhtk:14735,74adfc76-0ccb-5cfd-96f1-819b059118ab,Items,1,tr:lh:140310,,isad:lh:175604,,,,ICO-GF-003,,Nederlands,Noot
tg:lhtk:4226,7d3ec2bc-4430-563e-ab4e-c17befda65dc,Items,1,tr:lh:4370,84448/26,isad:lh:97312,P 737 / I planex GT (map 1),,V1 B,,,Nederlands,Noot
tg:lhtk:1474,746e15e0-0850-5c86-885c-601e6d8e0955,Items,1,tr:lh:2793,58752/2b,isad:lh:96908,Planex KP / B 1333,,,,,Nederlands,Noot
tg:lhtk:9044,eba13069-16c5-5857-b2f9-0f16220c2abb,Items,1,tr:lh:7497,197416/26B,isad:lh:96923,S 5621 / I (Doos 3),"Lode Sebregts ontwierp 20 keer het decor voor de Sinterklaasfeesten van """"Kindervreugd"""".",,,,Nederlands,Noot
tg:lhtk:11167,8ea959e6-9df6-5969-b698-63f9a3d0e3d2,Items,1,tr:lh:2432,47191/9,isad:lh:127280,D 1175 / I (Doos 10),,,,,Nederlands,Noot
tg:lhtk:4676,61803b72-9974-5a05-9a30-81d8cf5ed562,Items,1,tr:lh:5448,106955/7b,isad:lh:97335,C 3396 / I (doos 1),,,,,Nederlands,Noot
tg:lhtk:5964,714f764a-9b7f-5a42-8cdc-e939ba1349a1,Items,1,tr:lh:5754,117453/5,isad:lh:161463,D 4813 / I (Doos 1),D 4813 / 239,,,,Nederlands,Noot
tg:lhtk:7959,23070107-c5f3-51d3-b704-db88611ddaf2,Items,1,tr:lh:4634,88452/1,isad:lh:96943,Planex GT / P 497,,,,,Nederlands,Noot
tg:lhtk:2608,a2fd91c7-231b-5106-ae57-fcb1851100fb,Items,1,tr:lh:2212,43556/6,,Planex KP / H 635,,,,,Nederlands,Noot
tg:lhtk:1927,f8cc0c40-090e-5560-9372-90466c163dae,Items,1,tr:lh:7408,196158,isad:lh:97034,SC 43 A 2,,,,,Nederlands,Noot
tg:lhtk:15124,0a1037ea-50b6-522e-b7b7-ead38fe30474,Items,1,tr:lh:140310,,isad:lh:178481,,,,ICO-GF-009,,Nederlands,Noot
tg:lhtk:5437,27d6e8c5-1b9b-5830-93bf-2272e5df9a52,Items,1,tr:lh:5159,101757/14,isad:lh:97370,W 30267 / I,,,,,Nederlands,Noot
tg:lhtk:2258,ac4f44f1-d5b9-53f8-84cf-0865277dd403,Items,1,tr:lh:5237,103281/20,isad:lh:96903,Planex KP / L 462,,,,,Nederlands,Noot
tg:lhtk:10776,0a93ec83-f2f4-50d9-8477-d4d23d0f6eed,Items,1,tr:lh:2432,47188/31,isad:lh:127002,D 1175 / I (Doos 3),,,,,Nederlands,Noot
tg:lhtk:8655,3c7534ce-1006-538f-adb2-5c80adf6b2fb,Items,1,tr:lh:3756,72248,isad:lh:96913,Planex GT / L 495,,,,,Nederlands,Noot
tg:lhtk:9947,511476f4-5b3d-5704-a122-0d1dcc49f07b,Items,1,tr:lh:1217,,isad:lh:125728,D 89 / I (Map 4),,,,,Nederlands,Noot
tg:lhtk:13859,b9f03c7e-df58-5142-a021-0a67af8044c6,Items,1,,,,B 7307 / SC,,,,,Nederlands,Noot
tg:lhtk:11864,264cf979-d1a0-52ed-8d82-a626400bc330,Items,1,tr:lh:2432,47311/136,isad:lh:128076,D 1175 / I (Doos 7),,,,,Nederlands,Noot
tg:lhtk:5067,1071c8d7-6254-5e2f-ae29-7c8eb2743154,Items,1,tr:lh:5448,106972/38,isad:lh:97335,C 3396 / I (doos 3),,,,,Nederlands,Noot
tg:lhtk:6866,7738e49b-4462-5f9b-a435-ffe5ace8f29b,Items,1,tr:lh:152,5089/1,isad:lh:96986,Planex GT / J 4453,"**Publicatie** Borgers, Gerrit, _Kroniek van Paul van Ostaijen, 1896-1929_. Den Haag, Brugge: Scheltens, Orion, 1975, p.58.",,,,Nederlands,Noot
tg:lhtk:7774,9844b61b-7c70-5b03-9ce9-cce7bbd2c795,Items,1,tr:lh:2974,60258/20b,isad:lh:97005,V 115 / I,Op achterkant van karikatuur van tekenaar met 'Petites annonces',,,,Nederlands,Noot
tg:lhtk:8481,4bbe268a-a2b4-5a67-bc4b-ecb4843d7a73,Items,1,tr:lh:5764,118412/20,isad:lh:97457,Planex GT / S 255,,,,,Nederlands,Noot
tg:lhtk:12065,005187fe-2b16-518c-9565-db6f0f77f651,Items,1,tr:lh:2432,47311/55,isad:lh:128073,D 1175 / I (Doos 7),,,,,Nederlands,Noot
tg:lhtk:10058,70f569ae-41c5-515c-a472-ca794fba3138,Items,1,tr:lh:1217,,isad:lh:125820,D 89 / I (Map 3),,,,,Nederlands,Noot
tg:lhtk:7324,83b2413c-8615-5439-aad6-8cfc62f46ad7,Items,1,tr:lh:5300,104357/143b,isad:lh:97427,V 444 / I,,,,,Nederlands,Noot
tg:lhtk:14918,b2251d57-480f-5270-93fc-d6ed94dd80cc,Items,1,tr:lh:140310,,isad:lh:176332,,,,ICO-GF-004,,Nederlands,Noot
tg:lhtk:12435,3996d92f-3039-509c-9d82-fa416275a786,Items,1,tr:lh:7337,115957/12,isad:lh:128369,O 393 / I,,V1 B 75 C6,,,Nederlands,Noot
tg:lhtk:10408,ef4660cd-bea4-5ece-9dfd-9aa7f885cee3,Items,1,tr:lh:6878,73865,isad:lh:126298,D 89 / I (1),,,,,Nederlands,Noot
tg:lhtk:2126,94553408-c8df-5431-96ae-45f3cf0b77c1,Items,1,tr:lh:4038,77289/3,isad:lh:97093,SC 47 B 1,**Publicatie** Schoone Mon van 't Hertje: Edmond de Herdt Fitte Veearts: Hippoliet Everaerts Die kan 't nie lëie: Alfred Verheyen Van Broeckmans: Jan Broeckx Wilhem de Zwijger: Willem de Latin Karel: Karel Rovies Jan Blaas Uit: Jan Verbeeck,,,,Nederlands,Noot
tg:lhtk:4158,36ea2b5b-f62a-5e5a-b9e7-aee4cc852773,Items,1,tr:lh:4749,92512,,SC 38 A 1,Gekleurd borduurwerk met randversiering,,,,Nederlands,Noot
tg:lhtk:6165,8d5028ec-247f-5278-9e82-cb8a9e505806,Items,1,tr:lh:5482,107924/2,isad:lh:167344,D 4813 / I (Doos 4),D 4813 / 445,,,,Nederlands,Noot
tg:lhtk:12966,e3b0e996-ba7c-5314-b5c2-6cc8fddadffd,Items,1,tr:lh:2397,,isad:lh:129126,,,,GG 311 / 16,,Nederlands,Noot
tg:lhtk:11649,5dbcdb48-0a94-5b49-990d-9fc183022def,Items,1,tr:lh:2432,,isad:lh:127953,D 1175 / I (Doos 4),,,,,Nederlands,Noot
tg:lhtk:13674,9625fe0b-7538-5c15-bc10-9d395c052fd7,Items,1,,,isad:lh:144350,S 594 / I,,,,,Nederlands,Noot
tg:lhtk:11219,17062be6-4af9-5806-a0ab-bd683e87ced4,Items,1,tr:lh:2432,,isad:lh:127278,D 1175 / I (Doos 10),,,,,Nederlands,Noot
tg:lhtk:13224,8df6f12a-6466-511b-9ec4-60519cc08ee7,Items,1,tr:lh:5399,197496/22,isad:lh:97242,,,,,,Nederlands,Noot
tg:lhtk:2825,1a29d361-060c-596f-9f4f-21499cd43a56,Items,1,tr:lh:3755,72203/6,isad:lh:97182,"Planex GP / X, 2",,,,,Nederlands,Noot
tg:lhtk:3737,124417ef-ba75-5a8d-acbc-291ae9fca53e,Items,1,tr:lh:6246,146617/20,isad:lh:97276,H 7653 / I,,,,,Nederlands,Noot
tg:lhtk:12823,e6ee47e2-d5f2-56e0-ac64-35fa2b9a01d9,Items,1,tr:lh:2397,,isad:lh:128513,,,,GG 311 / 11,,Nederlands,Noot
tg:lhtk:13731,895f4357-3b74-56f9-8115-1fa9110e2a4b,Items,1,,,isad:lh:144350,S 594 / I,,,,,Nederlands,Noot
tg:lhtk:3222,9b2f775d-40a9-53a6-8098-9cda98c020c1,Items,1,tr:lh:2677,53005/1,isad:lh:97203,H 5252 / I (doos 1),"_Ballade van den boer_ verscheen voor het eerst in: Werumeus Buning, J.W.F.,
_Negen balladen._ Amsterdam: Querido, 1935, 55 p.",,,,Nederlands,Noot
tg:lhtk:6020,5110475e-018c-5a62-9502-8b19356bd624,Items,1,tr:lh:7800,215001/6,isad:lh:161139,D 4813 / I (Doos 2),D 4813 / 164,,,,Nederlands,Noot
tg:lhtk:2960,ab4e0aef-9496-5a26-8129-dd3871f24a90,Items,1,tr:lh:3054,60829/86,isad:lh:97185,B 366 / I,,,,,Nederlands,Noot
tg:lhtk:3672,d343b7d1-c8ab-5280-ba2b-ac29bd8f2c29,Items,1,tr:lh:6963,174079/17,isad:lh:97266,H 517 / I,,,,,Nederlands,Noot
tg:lhtk:3388,5c7db571-24a7-5de1-b289-a71bf9356d27,Items,1,tr:lh:7684,200126,isad:lh:97218,SC 49 D 1,"Levensboom behorende bij de kniprijmen (inv. nr: 200127, H record.nr: 14078) aangeboden aan mevrouw Dosfel op 25/10/1980, ter ere van haar 90 ste verjaardag.",,,,Nederlands,Noot
