brocade.id,ResourceID,card,order,Acquisition Note,Location Number,Registration Number value,Archive Note,adm.note,Serial Number,adm.note.language,adm.note.type
tg:lhps:50703,bf4b11b9-127c-5aff-97b1-441e912e587c,Items,1,,W 7073 / A,,isad:lh:113379,,,Nederlands,remarks
tg:lhps:31210,1b70d5f0-42d6-5d25-b9ef-2690082be301,Items,1,tr:lh:9936,S 282 / A (CS 291),225267/353,isad:lh:92208,,,Nederlands,remarks
tg:lhps:62388,dd6842e2-5309-5b9a-b9f4-b59bcdf47341,Items,1,tr:lh:140390,T 376 / A,,,,,Nederlands,remarks
tg:lhps:51811,eb802852-c36c-545a-9656-b325124c9232,Items,1,tr:lh:110437,A 2313 / A,,,,,Nederlands,remarks
tg:lhps:2063,60896a5b-9ffd-5bf6-99f0-076f8ff06878,Items,1,,E 4152 / A,238182,,,,Nederlands,remarks
tg:lhps:62672,81b3590d-f305-5bf4-807a-a00e23a78f3b,Items,1,tr:lh:140424,DD 77 / A,,,,,Nederlands,remarks
tg:lhps:62672,81b3590d-f305-5bf4-807a-a00e23a78f3b,Items,2,tr:lh:140424,DD 77 / A,,,,,Nederlands,remarks
tg:lhps:34012,9b65c617-7fc5-55ee-94ee-0cc301cde09a,Items,1,,AV.38.5.10.217,225272/2275,isad:lh:92750,,,Nederlands,remarks
tg:lhps:49522,85ca4068-aa4a-5a3a-a5ff-5183fc2bf3b2,Items,1,tr:lh:104038,S 626525 / A (LH.338),,isad:lh:110152,,,Nederlands,remarks
tg:lhps:18487,0d039db2-2108-5ff1-9fae-9cb4c1b7028f,Items,1,,C 33868 / A,215035,,,,Nederlands,remarks
tg:lhps:18487,0d039db2-2108-5ff1-9fae-9cb4c1b7028f,Items,2,,O 3641 / A,215035,,,,Nederlands,remarks
tg:lhps:2599,27ad9d79-b5d8-5363-b540-1280b9337ffb,Items,1,tr:lh:7019,GG 15 / A,180186,,,,Nederlands,remarks
tg:lhps:7261,8ce0671d-d0d0-5c01-b485-ae0c9bfe7a92,Items,1,tr:lh:7019,S 998005 / A,182152,,,,Nederlands,remarks
tg:lhps:55501,0e1c3864-f903-5a63-ac1b-8be61ff1208f,Items,1,tr:lh:110342,B 413365 / A,,,,,Nederlands,remarks
tg:lhps:28031,389e7351-295d-5e01-949b-ae3598da6afd,Items,1,tr:lh:9939,PP 210 / A (CA 128),225259/145,isad:lh:170201,,,Nederlands,remarks
tg:lhps:28031,389e7351-295d-5e01-949b-ae3598da6afd,Items,2,tr:lh:139765,SS 419 / A,,isad:lh:140015,,,Nederlands,remarks
tg:lhps:16860,d19137fe-76a0-596f-b286-8ddefadad5c6,Items,1,tr:lh:7019,B 9732 / A,181383,,,,Nederlands,remarks
tg:lhps:20401,0b1c304e-cce6-5734-ba49-8042c8071d4e,Items,1,,G 118 / A,215066/30,,,,Nederlands,remarks
tg:lhps:17772,becb0916-3872-5021-919f-2cc14d476e0c,Items,1,,B 87165 / A,217421,,,,Nederlands,remarks
tg:lhps:41112,3c39a3ae-9f81-5cc6-b773-4bbf085b43ba,Items,1,,W 2545 / A,225273/358,,,,Nederlands,remarks
tg:lhps:8194,32bd250e-ca8b-5300-8081-91eddaa7df39,Items,1,,V 758 / A,236374,,,,Nederlands,remarks
tg:lhps:53206,c7c11f87-7b13-58d1-a8a1-9f1a22a50552,Items,1,tr:lh:110342,B 1703 / A,,,,,Nederlands,remarks
tg:lhps:33807,461ca59c-a9ae-5709-8418-d6784bb59192,Items,1,,AV.19.28.100,225272/2078,isad:lh:92874,,,Nederlands,remarks
tg:lhps:32715,fd5a2f19-b11e-58e3-bc1f-a81170b5dd15,Items,1,,"AV.14.6.610 (LK VIII,1)",225272/610,isad:lh:92873,,,Nederlands,remarks
tg:lhps:19445,852a4221-0177-52a7-bd64-1851b8888edd,Items,1,tr:lh:9826,"H 665 / A (LK V,8)",215048/25,,,,Nederlands,remarks
tg:lhps:1566,26bab04d-1794-5a5d-a3d5-ef38b838fd24,Items,1,tr:lh:6443,N 261 / A,157808/19,isad:lh:92333,,,Nederlands,remarks
tg:lhps:1566,26bab04d-1794-5a5d-a3d5-ef38b838fd24,Items,2,,N 261 / A,238990,,,,Nederlands,remarks
tg:lhps:30728,fe67f04d-983e-54f8-b78f-fde32ee303ec,Items,1,,S 6225 / A,225263/653,,,,Nederlands,remarks
tg:lhps:9156,fcdaed43-90bf-52f5-97d1-9239f8c4c999,Items,1,,S 4685 / A,235413,,,,Nederlands,remarks
tg:lhps:13048,b0546062-3c49-5ad5-b34b-995a9b063916,Items,1,tr:lh:7632,C 20385 / A,213588,,,,Nederlands,remarks
tg:lhps:45628,6b203b35-71e3-52c5-9bdd-f0f334e62a2c,Items,1,tr:lh:30802,PP 210 / A (CA 356),225290/2,isad:lh:98629,,,Nederlands,remarks
tg:lhps:58919,ed92c67e-2d04-5a44-b16c-efd082e2233c,Items,1,,F 221 / A,,isad:lh:138379,Uit F 221 / 27,,Nederlands,remarks
tg:lhps:11075,0fb57357-216a-5733-9c3e-16837ea81f08,Items,1,tr:lh:7325,S 626525 / A,186001/1-2,,,,Nederlands,remarks
tg:lhps:47615,78d5bdc2-c4a1-5ff1-bc0c-436ac31e0463,Items,1,tr:lh:97989,T 36205 / A,,isad:lh:103955,,,Nederlands,remarks
tg:lhps:46907,4b776a58-36dc-5cc4-a6da-a1324c04c657,Items,1,tr:lh:1864,"V 75795 / A (LK XI,8)",,isad:lh:92277,,,Nederlands,remarks
tg:lhps:26306,eae763a9-a950-5154-a13e-13190d1d310e,Items,1,tr:lh:7875,O 3369 / A (CM2441),225212/3439,isad:lh:92200,,,Nederlands,remarks
tg:lhps:21139,a4b55e31-0f2e-5f08-b1de-954f9997fc77,Items,1,,H 7895 / A,215092/1,,,,Nederlands,remarks
tg:lhps:23104,3b8ad8aa-bf41-52ce-95f5-924ced3b651d,Items,1,,KK 2 / A,225235/38,,,,Nederlands,remarks
tg:lhps:14277,7a4a3313-eef7-5b37-a918-c63a74409327,Items,1,tr:lh:7632,G 1195 / A,214751,,,,Nederlands,remarks
tg:lhps:42417,5d5131e8-a47d-5956-8956-d2a37f6f751f,Items,1,,B 66525 / A,225279/239,,,,Nederlands,remarks
tg:lhps:553,619284b3-cbdf-53a0-b40c-4a6295e99fd3,Items,1,,A 4573 / A,236997/1,,,,Nederlands,remarks
tg:lhps:61377,91006d10-b1c8-5108-ab80-6a9619550d5a,Items,1,,CC 209 / A,,,,,Nederlands,remarks
tg:lhps:6759,4617d5a0-5396-5c72-b357-ae538cacba4c,Items,1,tr:lh:5565,"R 564 / A (LK IV,1)",110830/144,isad:lh:92393,,,Nederlands,remarks
tg:lhps:4764,847b3ccf-91ed-5647-81e0-f939f54ae738,Items,1,,S 4685 / A,237491,,,,Nederlands,remarks
tg:lhps:5876,3ba8e61e-be3a-523b-a6d9-8588218dcc4f,Items,1,tr:lh:7019,K 162 / A,182796,,,,Nederlands,remarks
tg:lhps:56004,95e57784-2933-5e09-9f15-e30747c454f7,Items,1,,VV 103 / A,225299/358,,,,Nederlands,remarks
tg:lhps:29509,fd3f56cb-ee08-551b-ab6d-5a5957fb4385,Items,1,,P 72893 / A,59224/a,,,,Nederlands,remarks
tg:lhps:54039,225bb9f8-d5b3-5e4e-9ec4-0b32d5f943fd,Items,1,tr:lh:110342,J 287 / A,225298/205,,,,Nederlands,remarks
tg:lhps:50979,0d759da4-bd02-5e66-9c4f-3ec62675305b,Items,1,,SS 196 / A,225294/359,,,,Nederlands,remarks
tg:lhps:19015,efa95099-77ce-5e32-8855-6e2c2c94b04d,Items,1,,TT 93 / A,215034/197,,,,Nederlands,remarks
tg:lhps:30378,11f04f8f-5d91-58ee-9d8a-03e202a0c4fe,Items,1,,S 185 / A,225263/480,,,,Nederlands,remarks
tg:lhps:1136,19be8b32-6b7b-5e91-acb3-8828da303158,Items,1,,C 33773 / A,239058,,,,Nederlands,remarks
tg:lhps:35480,8eb65594-623b-5904-9291-69bbe2141a58,Items,1,,AV.93.7.5,225272/2791,isad:lh:92220,,,Nederlands,remarks
tg:lhps:52944,0ac4fd1f-0cfb-5077-a71a-378d5d7f72c9,Items,1,tr:lh:110342,SS 89 / A,,,,,Nederlands,remarks
tg:lhps:53656,d5eb9217-56f1-595e-ba2a-6e124a96b3e3,Items,1,,M 9365 / A,,,,,Nederlands,remarks
tg:lhps:54193,0891c6e0-2b1b-55e8-8620-b25f9f82e2ab,Items,1,tr:lh:110342,D 23737 / A,225298/305,,,,Nederlands,remarks
tg:lhps:21093,d6a1a168-c5da-5cf0-96ea-dc5e8ece98c2,Items,1,,H 722 / A,215090/31,,,,Nederlands,remarks
tg:lhps:26756,3779ab20-77a4-51f0-8ace-8403f32a5e30,Items,1,tr:lh:7875,O 3369 / A (CM2726),225212/3724,isad:lh:92200,,,Nederlands,remarks
tg:lhps:45278,0f2d5453-bde0-5d06-a843-320273f4d51d,Items,1,,H 890 / A,225289/343,,,,Nederlands,remarks
tg:lhps:13418,83cb454b-0e97-509e-b3c6-618df444533d,Items,1,tr:lh:7632,S 4687 / A,213954,,,,Nederlands,remarks
tg:lhps:9506,63d4ac3a-e951-5083-b349-49e65116180d,Items,1,tr:lh:7010,"S 4685 / A (LK IV,7)",176787/17,,,,Nederlands,remarks
tg:lhps:9506,63d4ac3a-e951-5083-b349-49e65116180d,Items,2,tr:lh:7316,"S 4685 / A (LK IV,7)",184491,,,,Nederlands,remarks
tg:lhps:9506,63d4ac3a-e951-5083-b349-49e65116180d,Items,3,tr:lh:103936,S 4685 / A,,,,,Nederlands,remarks
tg:lhps:27844,ed6126c5-1be1-515a-9f81-af2a0afc1770,Items,1,tr:lh:7875,O 3369 / A (CM 3762),225212/4760,isad:lh:92200,,,Nederlands,remarks
tg:lhps:40580,e7e2ead8-6e18-5cd6-b6e5-c7d003fc2e49,Items,1,,V 486 / A,225271/575,,,,Nederlands,remarks
tg:lhps:25879,6012143e-63b1-546e-862c-55b0421d5f22,Items,1,,MM 33 / A,225255/527,,,,Nederlands,remarks
tg:lhps:47245,d93f9cfa-6127-5bd4-a630-3c115bc46543,Items,1,,MM 85 / A,,,,,Nederlands,remarks
tg:lhps:11425,35d4fa43-6d91-5181-891d-af73d620f902,Items,1,,A 3812 / A,200382,,,,Nederlands,remarks
tg:lhps:11425,35d4fa43-6d91-5181-891d-af73d620f902,Items,2,,C 203647 / A,200382,,,,Nederlands,remarks
tg:lhps:45782,a446bb7e-0a70-5b14-93ce-7fb52be11b36,Items,1,,K 236 / A,225289/871,,,,Nederlands,remarks
tg:lhps:103,7183fd5f-7a80-54df-b99a-e724df6cb1e9,Items,1,,"A 357 / A (LK I,9)",238865,,,,Nederlands,remarks
tg:lhps:42047,fc02db11-7b88-5a51-80de-cf1fc2142c6b,Items,1,,EE 39 / A,225277/52,,,,Nederlands,remarks
tg:lhps:14627,e9078ef7-a4e9-5153-b64d-0f244e276a5a,Items,1,,"P 637 / A (LK XI,4)",215158/a,,,,Nederlands,remarks
tg:lhps:21569,aebc1140-82ef-5a07-bf64-9a5d915c06b9,Items,1,,J 1797 / A,215099/106,,,,Nederlands,remarks
tg:lhps:15935,1a1ce0fb-e523-546a-980b-417899d6f02d,Items,1,tr:lh:7634,A 4269 / A,212720,,,,Nederlands,remarks
tg:lhps:24291,7c424a65-5b2d-56d5-b7d2-4fc2253cf07a,Items,1,tr:lh:7875,O 3369 / A (CM1303),225212/2300,isad:lh:92200,,,Nederlands,remarks
tg:lhps:17908,cb9bdff2-51fc-5ad0-b361-0128ba1c06c7,Items,1,,D 125 / A,225013/1,,,,Nederlands,remarks
tg:lhps:23554,127c3058-9394-5106-bebc-cef6265fc86c,Items,1,tr:lh:7875,O 3369 / A (CM724),225212/1721,isad:lh:92200,,,Nederlands,remarks
tg:lhps:44890,7b9daf7c-8c58-518b-bd9b-c710b30ece15,Items,1,,GG 10 / A,225289/157,,,,Nederlands,remarks
tg:lhps:44890,7b9daf7c-8c58-518b-bd9b-c710b30ece15,Items,2,,GG 10 / A,,isad:lh:102726,,,Nederlands,remarks
tg:lhps:62808,2f4fd3f1-c136-5f5b-982e-d89a20c9f931,Items,1,tr:lh:140424,MM 70 / A,,,,,Nederlands,remarks
tg:lhps:31990,ebe7d490-206a-538d-a4d4-6a6a187c30a0,Items,1,,U 657 / A,225271/37a,,,,Nederlands,remarks
tg:lhps:56454,114f3c66-22cd-5ee8-a71c-bcba2375adbe,Items,1,,W 4897 / A,225299/466,,,,Nederlands,remarks
tg:lhps:54469,c02e2707-7a71-554c-aca9-d90f9611b706,Items,1,tr:lh:110342,NN 31 / A,,,,,Nederlands,remarks
tg:lhps:29159,949c43d9-6579-551a-b609-dd77aedbe4c4,Items,1,tr:lh:9937,"V 75457 / A (VM606,607,608,690)",225261/606,isad:lh:92204,,,Nederlands,remarks
tg:lhps:51391,56a5f424-1b06-54fa-94cc-57d1f371e32b,Items,1,tr:lh:110342,M 9679 / A,,,,,Nederlands,remarks
tg:lhps:60835,2a703d89-8ea4-59a2-a606-e9c24b9c2d41,Items,1,,O 3369 / A,,,,,Nederlands,remarks
tg:lhps:6309,79822d43-5d32-5918-ba4c-f8f44b58fd2d,Items,1,tr:lh:7019,"P 1533 / A (LK IV,2)",182951,,,,Nederlands,remarks
tg:lhps:61727,cc8ba4cd-99bb-50e9-9c4d-260be713ae1a,Items,1,,A 357 / A,,,,,Nederlands,remarks
tg:lhps:4334,f968b8b8-82fc-514b-a802-4b03c4370a92,Items,1,,S 4685 / A,237746,,,,Nederlands,remarks
tg:lhps:30682,550629b5-4a0c-5387-89c1-11ff3b15221f,Items,1,tr:lh:9936,S 282 / A (CS 147),225267/204,isad:lh:92208,,,Nederlands,remarks
tg:lhps:52417,6cfe0cfa-4675-5d2d-a4b6-4ce53c61f977,Items,1,tr:lh:110342,BB 230 / A,,,,,Nederlands,remarks
tg:lhps:31139,22cfe2d8-c148-542a-b88b-cfe629177703,Items,1,,SS 38 / A,225269/a,,,,Nederlands,remarks
tg:lhps:18254,8478aa71-1b53-5c52-bac2-8a447d912ec6,Items,1,tr:lh:9938,E 1319 / A (LH.36),225045/487,isad:lh:92227,,,Nederlands,remarks
tg:lhps:33104,f622d4d6-e1f6-5311-be3f-c244c081715f,Items,1,,AV.14.6.963,225272/1023,isad:lh:92873,,,Nederlands,remarks
tg:lhps:46004,481f0f04-b03e-5172-98ef-2e16fe2c2c6c,Items,1,tr:lh:30821,PP 210 / A (CA 539),300041/27,isad:lh:98630,,,Nederlands,remarks
tg:lhps:10664,57845f2a-676f-571d-861b-0fe29317dcc7,Items,1,tr:lh:6630,TT 44 / A,163921,isad:lh:92354,,,Nederlands,remarks
tg:lhps:44039,2a3356e4-1b0b-57a3-af5f-af57b61b1549,Items,1,,F 108 / A,225286/222,,,,Nederlands,remarks
tg:lhps:12659,a6f7c670-8bb5-5831-96c3-d53a03311e4c,Items,1,tr:lh:7634,B 55115 / A,213242,,,,Nederlands,remarks
tg:lhps:8747,9de256f8-9c4f-5034-89a6-39f30c710d9e,Items,1,tr:lh:7106,V 2503 / A,183824,,,,Nederlands,remarks
tg:lhps:9855,7eede19b-8132-56c4-b5b7-325686899996,Items,1,tr:lh:7284,O 33745 / A,184864/1,,,,Nederlands,remarks
tg:lhps:27517,cca671e8-1d6e-5a57-aaf7-19b76c6bd844,Items,1,tr:lh:7875,O 3369 / A (CM 3435),225212/4433,isad:lh:92200,,,Nederlands,remarks
tg:lhps:11976,45351f0c-7dd5-5a9c-b71e-110ebc9ca1e0,Items,1,tr:lh:7748,"BB 112 / A (LK IV,6)",200848/173-174,isad:lh:92667,1 ex. in permanente tentoonstelling,,Nederlands,remarks
tg:lhps:22715,7d5c864b-9151-5382-ae8c-a43053e8910a,Items,1,,K 4546 / A,225229/101,,,,Nederlands,remarks
tg:lhps:20728,5f82960d-2d8f-5cd0-b7bf-5ac2a37e8579,Items,1,,G 8083 / A,105729/8a,,,,Nederlands,remarks
tg:lhps:43206,12f1c96c-e4d0-5009-986e-52b9a8b7bc9b,Items,1,,H 1457 / A,225283/11,isad:lh:92924,,,Nederlands,remarks
tg:lhps:15466,8b20dcc6-2bb0-5bce-a9b0-5ab62a75b60f,Items,1,tr:lh:7634,AA 5 / A,212242,,,,Nederlands,remarks
tg:lhps:23807,5d594c0c-7987-5e85-a50b-a169b29d72ee,Items,1,tr:lh:7875,O 3369 / A (CM890),225212/1887,isad:lh:92200,,,Nederlands,remarks
tg:lhps:5175,8c439f20-e389-5665-b7bc-8bb77115470e,Items,1,tr:lh:4061,M 652 / A,77894/79,,,,Nederlands,remarks
tg:lhps:56907,536d67dd-c65c-560c-920a-8451e618ac6d,Items,1,,H 6968 / A,,isad:lh:132149,,,Nederlands,remarks
tg:lhps:60566,32a2f91b-9d00-5259-a239-43c2d4cd7c3f,Items,1,,O 33745 / A,,,,,Nederlands,remarks
tg:lhps:7148,c7423df2-384c-5533-a4a1-652836d96ac6,Items,1,tr:lh:7019,M 936854 / A,181192,,,,Nederlands,remarks
tg:lhps:7148,c7423df2-384c-5533-a4a1-652836d96ac6,Items,2,tr:lh:7875,,225212/411,,,,Nederlands,remarks
tg:lhps:55628,03503b0d-997f-5f73-a067-7f0dd5af2480,Items,1,,V 46635 / A,225299/255,,,,Nederlands,remarks
tg:lhps:28318,d723912b-c98c-59bf-abb0-a466d786acd4,Items,1,,O 4389 / A,225260/165,,,,Nederlands,remarks
tg:lhps:48919,aad8249b-2372-55f7-9c6d-f910365ac4a5,Items,1,,O 295 / A,225293/258,,,,Nederlands,remarks
tg:lhps:57615,730743c7-105f-50b4-a6b5-71d9b3410a22,Items,1,,F 221 / A,,isad:lh:136069,Uit F 221 / 9,,Nederlands,remarks
tg:lhps:31569,0531b621-b909-5398-8c00-9b518383ac0b,Items,1,tr:lh:9936,S 282 / A (CS 351),225267/413,isad:lh:92208,,,Nederlands,remarks
tg:lhps:34291,18ae8dc2-e7d2-50e0-97fe-acae6600fecf,Items,1,,AV.38.5.10.452,225272/2278,isad:lh:92750,,,Nederlands,remarks
tg:lhps:33554,35cc383b-0702-55b1-addc-21a2b7536b66,Items,1,,AV.14.6.1385,225272/1451,isad:lh:92873,,,Nederlands,remarks
tg:lhps:54890,5c9800ec-c30d-5ae3-96c4-cd39f2ba7acd,Items,1,,T 1612275 / A,,isad:lh:127056,,,Nederlands,remarks
tg:lhps:18604,1290ae83-84fb-5369-ba18-a01fd404c591,Items,1,,C 34776 / A,215036/49,,,,Nederlands,remarks
tg:lhps:19916,c63b861e-2f7d-5f47-ad41-eb024cd5f00b,Items,1,,E 4153 / A,215054/1,,,,Nederlands,remarks
tg:lhps:55782,0492e6f4-d3ae-5b38-b70e-0faaf2941ff3,Items,1,tr:lh:110342,TT 25 / A,,,,,Nederlands,remarks
tg:lhps:3808,59756e4b-0ce5-5cd4-a656-0a222951a759,Items,1,tr:lh:7019,J 3368 / A,183190/1,,,,Nederlands,remarks
tg:lhps:1835,b6dea89f-8953-5d96-bfe9-faff3bdd35f7,Items,1,,E 4152 / A,238255,,,,Nederlands,remarks
tg:lhps:52047,d97557a0-fcc6-5293-9c8a-f48c19d7b6ce,Items,1,tr:lh:110437,M 936851 / A,,,,,Nederlands,remarks
tg:lhps:27147,f3e859d2-69ff-5139-9145-55fd096c6e5c,Items,1,tr:lh:7875,O 3369 / A (CM3073),225212/4071,isad:lh:92200,,,Nederlands,remarks
tg:lhps:20682,c967091f-919a-585d-a186-6c51c6fe75dd,Items,1,,G 5642 / A,215080/1a,,,,Nederlands,remarks
tg:lhps:21990,6f99dbc8-fd71-5a68-b193-8f537518d062,Items,1,tr:lh:7875,T 196555 / A,225212/943,isad:lh:92200,,,Nederlands,remarks
tg:lhps:10234,819a37e5-a290-5706-babf-ff0557d052ab,Items,1,tr:lh:7284,O 33745 / A,185198,,,,Nederlands,remarks
tg:lhps:46454,292f27ae-36d9-5147-a2df-7a8fc05bd53e,Items,1,tr:lh:30822,CA 834 / A (LH.322),300042/108,isad:lh:98631,,,Nederlands,remarks
tg:lhps:8317,766c6356-c580-55b1-a209-b4a1acc1dc71,Items,1,tr:lh:7019,V 9132 / A,182608,,,,Nederlands,remarks
tg:lhps:44469,2ad173b0-81f5-5ece-9331-886859d86f24,Items,1,,FF 1 / A,225286/446,,,,Nederlands,remarks
tg:lhps:41391,4969b22d-b2c7-5e3b-b412-9aa5f98dc61b,Items,1,,Z 165 / A,225273/539,,,,Nederlands,remarks
tg:lhps:15036,62149fd8-fa91-544f-8352-52388e4a9d5b,Items,1,,K 9885 / A,215544,,,,Nederlands,remarks
tg:lhps:43656,90471f92-9f04-5078-87cb-f7a4d6241846,Items,1,,D 56 / A,225284/307,,,,Nederlands,remarks
tg:lhps:44193,fa082741-0795-50fe-ae28-6ca5e43d7cd5,Items,1,,AV.84.9.100,225272/2698,isad:lh:92220,,,Nederlands,remarks
tg:lhps:40979,fae3d88d-f9a8-5bb5-bfe2-b4950ad21d69,Items,1,,VV 141 / A,225273/232,,,,Nederlands,remarks
tg:lhps:22345,becfbd21-93b1-516b-ae6d-c6433f607b8d,Items,1,tr:lh:7875,O 3369 / A (CM 171),225212/1167,isad:lh:92200,,,Nederlands,remarks
tg:lhps:20378,8ed657dc-e8bd-581e-bbc1-caa3afde3626,Items,1,,FF 44 / A,215066/9,,,,Nederlands,remarks
tg:lhps:25480,baa5b057-b399-5894-a61e-1beb4745ed68,Items,1,,M 9326 / A,225255/305a,,,,Nederlands,remarks
tg:lhps:42944,642ef0fe-dd72-548e-8d9c-38f5240421c7,Items,1,,C 203885 / A,225281/62,,,,Nederlands,remarks
tg:lhps:800,619648fe-86f1-54e3-ab3b-7e0283e6120d,Items,1,tr:lh:3438,B 435 / A,67741,isad:lh:92262,,,Nederlands,remarks
tg:lhps:28748,48d494cf-4c65-5d66-97cc-cea9b7471efa,Items,1,tr:lh:9937,V 75457 / A (VM307),225261/307,isad:lh:92351,,,Nederlands,remarks
tg:lhps:55278,d8a2d4b0-8a9f-58ae-aa8b-b18153f19b9f,Items,1,,TT 165 / A,225299/141,,,,Nederlands,remarks
tg:lhps:50580,9e61b141-4e05-57fc-9e56-18ae09da0914,Items,1,tr:lh:9943,G 21795 / A,,isad:lh:114487,,,Nederlands,remarks
tg:lhps:57245,00103210-a603-54a4-a2a3-031eba2a464a,Items,1,,KK 206 / A,,,,,Nederlands,remarks
tg:lhps:7518,39dc4816-ad1e-5063-8d2c-229f5a113882,Items,1,tr:lh:7019,T 19665 / A,182352,,,,Nederlands,remarks
tg:lhps:60136,44e7a391-7667-5893-9d42-b1d1cd86b137,Items,1,tr:lh:110342,M 9679 / A,,,,,Nederlands,remarks
tg:lhps:36756,13025174-0788-5498-b956-265c310e3d2f,Items,1,,AV.6038,225272/1908,isad:lh:92876,,,Nederlands,remarks
tg:lhps:25195,e21f32e4-4e4b-5b87-95d8-626cff7f7038,Items,1,,M 6897 / A,133098/10,,,,Nederlands,remarks
tg:lhps:22650,c1ffc978-5bc2-5c3c-918f-72e83cd42741,Items,1,,K 293 / A,225229/41,,,,Nederlands,remarks
tg:lhps:23942,c53f69e1-9263-5488-9f54-75a0a1f78d18,Items,1,,M 1374 / A,225251/23,,,,Nederlands,remarks
tg:lhps:44486,29af7c4b-e833-5179-aa1d-be596f3ec10d,Items,1,,FF 1 / A,225286/463,,,,Nederlands,remarks
tg:lhps:15523,abf0b21d-ad88-5a11-aa74-3a04a79fb745,Items,1,tr:lh:7634,M 284 / A,212299,,,,Nederlands,remarks
tg:lhps:15523,abf0b21d-ad88-5a11-aa74-3a04a79fb745,Items,2,tr:lh:7284,M 284 / A,184773,,,,Nederlands,remarks
tg:lhps:43343,c969a369-44e3-5f26-912d-8ef1eb90d3b8,Items,1,,CC 140 / A,225284/42,,,,Nederlands,remarks
tg:lhps:60423,e8a172b5-7551-5cea-aa15-693afb3079eb,Items,1,,O 33745 / A,,,,,Nederlands,remarks
tg:lhps:36243,4e90359e-917f-5379-b7d6-3bf4a01fd8b1,Items,1,,AV.93.9.712,225272/3063,isad:lh:92875,,,Nederlands,remarks
tg:lhps:5030,c59df192-6a9a-52f1-9176-e9ce46beaa3f,Items,1,,P 19597 / A,236164,,,,Nederlands,remarks
tg:lhps:31586,9419794e-7bc2-5280-b9b5-e56c9056ada3,Items,1,tr:lh:9936,S 282 / A (CS 368),225267/432,isad:lh:92208,,,Nederlands,remarks
tg:lhps:56842,f8323c5d-c73a-5291-be9b-2fa76d188b45,Items,1,,O 33735 / A,,isad:lh:131344,,,Nederlands,remarks
tg:lhps:57750,0a61846e-642d-5517-aae4-80c80a930f08,Items,1,,F 221 / A,,isad:lh:136084,Uit F 221 / 10,,Nederlands,remarks
tg:lhps:50095,e5a98be3-be70-503d-802c-c6dbc0eff1fd,Items,1,tr:lh:110342,F 221 / A,,,,,Nederlands,remarks
tg:lhps:52552,e3ffc482-639b-5a58-a543-d756497c1c12,Items,1,tr:lh:110342,BB 289 / A,,,,,Nederlands,remarks
tg:lhps:55297,50d1e05d-5813-57ba-82f1-39732d76c1e2,Items,1,,U 654 / A,225299/151,,,,Nederlands,remarks
tg:lhps:33041,e9c80d64-aad4-5f7c-80fd-f3cf5e4a1565,Items,1,,AV.14.6.908,225272/967,isad:lh:92873,,,Nederlands,remarks
tg:lhps:8602,5cc275dc-87b7-532f-a7df-d9839e34c5c8,Items,1,tr:lh:7308,V 9087 / A,183487,isad:lh:92575,,,Nederlands,remarks
tg:lhps:41684,84a333e4-b0e6-5ea7-a768-114baef8cd22,Items,1,,A 357 / A,225276/191,,,,Nederlands,remarks
tg:lhps:10721,66b47439-29cd-5cf1-9107-b53cf58e95ee,Items,1,tr:lh:7282,C 2756 / A,185647,,,,Nederlands,remarks
tg:lhps:46141,21f14f34-1779-5bb4-b000-feac17a35867,Items,1,,KK 45 / A,225289/1002,,,,Nederlands,remarks
tg:lhps:11833,5cfe55e4-27e5-53f4-8819-2c2e064957f5,Items,1,tr:lh:7742,"V 3404 / A (LK XI,10)",200791/12,isad:lh:92270,,,Nederlands,remarks
tg:lhps:20397,4bafb4b0-2077-55ff-99a4-e40a2141dfd1,Items,1,,G 1169 / A,215066/26,,,,Nederlands,remarks
tg:lhps:9910,44c8b1f2-0a3c-5b07-81a8-d6f3ca3f39b5,Items,1,tr:lh:7284,O 33745 / A,184906,,,,Nederlands,remarks
tg:lhps:27452,563175e7-f5a1-5276-bce3-315f4d65359e,Items,1,tr:lh:7875,O 3369 / A (CM 3371),225212/4369,isad:lh:92200,,,Nederlands,remarks
tg:lhps:40996,5afa1777-6479-5808-adea-2f461dda3664,Items,1,,VV 143 / A,225273/248,,,,Nederlands,remarks
tg:lhps:40996,5afa1777-6479-5808-adea-2f461dda3664,Items,2,,VV 143 / A,216829/173,,,,Nederlands,remarks
tg:lhps:43713,71f18dbc-afa9-53f9-9bab-254277a5dd8f,Items,1,,A 389 / A,225284/361,,,,Nederlands,remarks
tg:lhps:15173,2107a478-988d-5223-9561-bb04b281099b,Items,1,,A 389 / A,215682,,,,Nederlands,remarks
tg:lhps:15173,2107a478-988d-5223-9561-bb04b281099b,Items,2,,L 496 / A,215682,,,,Nederlands,remarks
tg:lhps:11999,efc0ed48-54e7-5135-a97e-53b7090b6cd5,Items,1,tr:lh:7748,"BB 112 / A (LK IV,6)",200848/245-246,isad:lh:92667,,,Nederlands,remarks
tg:lhps:42801,34c12658-3bff-5721-9873-16a033a95028,Items,1,,C 20385 / A,225279/497a,,,,Nederlands,remarks
tg:lhps:945,c44e8591-e311-5cb0-b091-e1fef96f5b80,Items,1,tr:lh:7019,B 995 / A,182978,,,,Nederlands,remarks
tg:lhps:22200,153ee634-efab-5fda-8c9a-4c26c43f2bb3,Items,1,tr:lh:7875,O 3369 / A (CM 93),225212/1088,isad:lh:92200,,,Nederlands,remarks
